Cliente;Vlr_EUSD;Mês_EUSD
27512;39,12;EUSD_MAI18
27578;151,91;EUSD_MAI18
27745;6,75;EUSD_MAI18
27762;40,90;EUSD_MAI18
27804;246,23;EUSD_MAI18
27875;19,06;EUSD_MAI18
27876;0,00;EUSD_MAI18
28058;19,85;EUSD_MAI18
28174;30,18;EUSD_MAI18
28209;86,18;EUSD_MAI18
28267;33,75;EUSD_MAI18
28451;70,49;EUSD_MAI18
28452;89,36;EUSD_MAI18
28713;105,84;EUSD_MAI18
28715;45,67;EUSD_MAI18
28872;19,85;EUSD_MAI18
28921;0,00;EUSD_MAI18
29027;0,00;EUSD_MAI18
29028;212,28;EUSD_MAI18
29064;33,16;EUSD_MAI18
29102;0,00;EUSD_MAI18
29148;612,22;EUSD_MAI18
29475;407,28;EUSD_MAI18
29484;129,87;EUSD_MAI18
29495;1903,38;EUSD_MAI18
29502;139,00;EUSD_MAI18
29560;9,53;EUSD_MAI18
29581;5,95;EUSD_MAI18
29676;553,83;EUSD_MAI18
29725;565,35;EUSD_MAI18
30038;86,18;EUSD_MAI18
30073;324,08;EUSD_MAI18
30509;0,00;EUSD_MAI18
30566;19,85;EUSD_MAI18
30571;5,95;EUSD_MAI18
30645;36,73;EUSD_MAI18
30800;0,00;EUSD_MAI18
30809;19,85;EUSD_MAI18
30866;43,68;EUSD_MAI18
31047;57,98;EUSD_MAI18
31249;19,85;EUSD_MAI18
31333;19,85;EUSD_MAI18
31337;5,95;EUSD_MAI18
31626;5,95;EUSD_MAI18
31655;6,35;EUSD_MAI18
31666;10,32;EUSD_MAI18
31669;15,88;EUSD_MAI18
31858;0,00;EUSD_MAI18
32032;396,96;EUSD_MAI18
32042;25,81;EUSD_MAI18
32108;386,83;EUSD_MAI18
32148;0,00;EUSD_MAI18
32256;0,00;EUSD_MAI18
32398;57,38;EUSD_MAI18
32441;462,69;EUSD_MAI18
32984;556,02;EUSD_MAI18
33029;19,85;EUSD_MAI18
33034;44,68;EUSD_MAI18
33059;19,85;EUSD_MAI18
33122;5,95;EUSD_MAI18
33128;0,00;EUSD_MAI18
33132;448,98;EUSD_MAI18
33187;8,93;EUSD_MAI18
33239;0,00;EUSD_MAI18
33325;0,00;EUSD_MAI18
34047;5,95;EUSD_MAI18
34048;5,95;EUSD_MAI18
34049;355,25;EUSD_MAI18
34098;25,41;EUSD_MAI18
34202;43,68;EUSD_MAI18
34208;116,96;EUSD_MAI18
34215;32,56;EUSD_MAI18
34223;58,77;EUSD_MAI18
34225;5,95;EUSD_MAI18
34253;164,62;EUSD_MAI18
34261;91,34;EUSD_MAI18
34273;5,95;EUSD_MAI18
34275;524,25;EUSD_MAI18
34276;5,95;EUSD_MAI18
34287;19,85;EUSD_MAI18
34354;37,33;EUSD_MAI18
34369;0,00;EUSD_MAI18
34429;32,76;EUSD_MAI18
34458;30,18;EUSD_MAI18
34567;5,95;EUSD_MAI18
34569;5,95;EUSD_MAI18
34570;5,95;EUSD_MAI18
34574;5,95;EUSD_MAI18
34577;5,95;EUSD_MAI18
34578;5,95;EUSD_MAI18
34584;5,95;EUSD_MAI18
34585;5,95;EUSD_MAI18
34586;5,95;EUSD_MAI18
34587;5,95;EUSD_MAI18
34588;5,95;EUSD_MAI18
34589;5,95;EUSD_MAI18
34591;19,85;EUSD_MAI18
34712;0,00;EUSD_MAI18
34789;5,95;EUSD_MAI18
34797;19,85;EUSD_MAI18
34873;2114,28;EUSD_MAI18
34883;54,01;EUSD_MAI18
34888;31,57;EUSD_MAI18
34889;65,72;EUSD_MAI18
34893;34,15;EUSD_MAI18
34894;24,42;EUSD_MAI18
34896;20,65;EUSD_MAI18
34900;9,92;EUSD_MAI18
34901;10,12;EUSD_MAI18
34902;9,92;EUSD_MAI18
34903;25,02;EUSD_MAI18
34904;45,87;EUSD_MAI18
34905;9,92;EUSD_MAI18
34907;0,00;EUSD_MAI18
34908;20,45;EUSD_MAI18
34977;144,96;EUSD_MAI18
35134;5,95;EUSD_MAI18
35196;5,95;EUSD_MAI18
35214;26,01;EUSD_MAI18
35301;52,02;EUSD_MAI18
35363;453,35;EUSD_MAI18
35568;61,16;EUSD_MAI18
35590;5,95;EUSD_MAI18
35701;5,95;EUSD_MAI18
35702;5,95;EUSD_MAI18
35704;5,95;EUSD_MAI18
35705;5,95;EUSD_MAI18
35706;5,95;EUSD_MAI18
35710;19,85;EUSD_MAI18
35711;5,95;EUSD_MAI18
