Cliente;Vlr_EUSD;Mês_EUSD
14750;1120,20;EUSD_AGO18
14876;20,61;EUSD_AGO18
14876;20,61;EUSD_AGO18
15064;10,30;EUSD_AGO18
15856;6,18;EUSD_AGO18
15867;26,58;EUSD_AGO18
15867;26,58;EUSD_AGO18
15867;26,58;EUSD_AGO18
15925;100,99;EUSD_AGO18
16127;61,62;EUSD_AGO18
16127;61,62;EUSD_AGO18
16427;12,16;EUSD_AGO18
16472;16,48;EUSD_AGO18
16953;0,00;EUSD_AGO18
16954;0,00;EUSD_AGO18
16955;0,00;EUSD_AGO18
16956;0,00;EUSD_AGO18
16957;8,24;EUSD_AGO18
16959;0,00;EUSD_AGO18
16960;6,18;EUSD_AGO18
16961;6,18;EUSD_AGO18
16962;0,00;EUSD_AGO18
16964;0,00;EUSD_AGO18
16965;0,00;EUSD_AGO18
16966;0,00;EUSD_AGO18
16967;20,61;EUSD_AGO18
16968;6,18;EUSD_AGO18
16971;0,00;EUSD_AGO18
16972;0,00;EUSD_AGO18
16973;0,00;EUSD_AGO18
16974;6,18;EUSD_AGO18
16978;6,18;EUSD_AGO18
16980;0,00;EUSD_AGO18
16981;20,61;EUSD_AGO18
16982;6,18;EUSD_AGO18
16984;0,00;EUSD_AGO18
17039;51,73;EUSD_AGO18
17195;78,73;EUSD_AGO18
17204;1174,82;EUSD_AGO18
18062;20,61;EUSD_AGO18
18581;55,85;EUSD_AGO18
18581;55,85;EUSD_AGO18
18846;1470,18;EUSD_AGO18
18880;26,58;EUSD_AGO18
19400;1681,85;EUSD_AGO18
19528;6,18;EUSD_AGO18
19535;6,18;EUSD_AGO18
19542;6,18;EUSD_AGO18
19549;6,18;EUSD_AGO18
19556;23,08;EUSD_AGO18
19737;14,22;EUSD_AGO18
19848;27,41;EUSD_AGO18
19848;27,41;EUSD_AGO18
19848;27,41;EUSD_AGO18
19848;27,41;EUSD_AGO18
19848;27,41;EUSD_AGO18
19848;27,41;EUSD_AGO18
20052;28,85;EUSD_AGO18
20149;38,13;EUSD_AGO18
20946;0,00;EUSD_AGO18
20956;20,61;EUSD_AGO18
21338;64,30;EUSD_AGO18
21437;100,16;EUSD_AGO18
21437;100,16;EUSD_AGO18
21459;32,97;EUSD_AGO18
21469;36,89;EUSD_AGO18
21528;53,79;EUSD_AGO18
21582;126,13;EUSD_AGO18
21592;46,37;EUSD_AGO18
21686;99,13;EUSD_AGO18
21699;121,19;EUSD_AGO18
21699;121,19;EUSD_AGO18
21764;61,00;EUSD_AGO18
21824;55,64;EUSD_AGO18
21824;55,64;EUSD_AGO18
21839;91,71;EUSD_AGO18
21841;24,32;EUSD_AGO18
21884;1042,29;EUSD_AGO18
21958;59,77;EUSD_AGO18
22008;51,52;EUSD_AGO18
22008;51,52;EUSD_AGO18
22008;51,52;EUSD_AGO18
22008;51,52;EUSD_AGO18
22008;51,52;EUSD_AGO18
22008;51,52;EUSD_AGO18
22097;6,18;EUSD_AGO18
22165;10,71;EUSD_AGO18
22249;71,93;EUSD_AGO18
22265;52,55;EUSD_AGO18
22289;16,90;EUSD_AGO18
22305;36,68;EUSD_AGO18
22318;13,60;EUSD_AGO18
22445;97,49;EUSD_AGO18
22509;0,00;EUSD_AGO18
22509;0,00;EUSD_AGO18
22524;38,13;EUSD_AGO18
22524;38,13;EUSD_AGO18
22564;44,93;EUSD_AGO18
22571;81,82;EUSD_AGO18
22571;81,82;EUSD_AGO18
22675;6,18;EUSD_AGO18
22709;6,18;EUSD_AGO18
22709;6,18;EUSD_AGO18
22811;0,00;EUSD_AGO18
22811;0,00;EUSD_AGO18
22818;20,61;EUSD_AGO18
22818;20,61;EUSD_AGO18
22825;20,61;EUSD_AGO18
22854;41,01;EUSD_AGO18
22992;74,81;EUSD_AGO18
22992;74,81;EUSD_AGO18
23165;121,39;EUSD_AGO18
23165;121,39;EUSD_AGO18
23265;239,08;EUSD_AGO18
23265;239,08;EUSD_AGO18
23335;656,66;EUSD_AGO18
23336;1723,07;EUSD_AGO18
23370;22,46;EUSD_AGO18
23460;72,13;EUSD_AGO18
23483;43,48;EUSD_AGO18
23505;65,54;EUSD_AGO18
23505;65,54;EUSD_AGO18
23535;75,02;EUSD_AGO18
23564;57,71;EUSD_AGO18
23590;53,38;EUSD_AGO18
23601;43,07;EUSD_AGO18
23601;43,07;EUSD_AGO18
23661;37,09;EUSD_AGO18
23776;64,30;EUSD_AGO18
23788;20,61;EUSD_AGO18
23808;94,81;EUSD_AGO18
23808;94,81;EUSD_AGO18
23896;1708,85;EUSD_AGO18
23949;87,39;EUSD_AGO18
24103;20,61;EUSD_AGO18
24105;20,61;EUSD_AGO18
24105;20,61;EUSD_AGO18
24106;20,61;EUSD_AGO18
24107;20,61;EUSD_AGO18
24114;20,61;EUSD_AGO18
