Cliente;Vlr_EUSD;Mes_eusd;AnoEUSD;
25229;45.67;MAI_18;2018;
25240;239.09;MAI_18;2018;
25354;32.56;MAI_18;2018;
25479;37.73;MAI_18;2018;
25481;59.77;MAI_18;2018;
25529;0.00;MAI_18;2018;
25671;67.51;MAI_18;2018;
25695;32.76;MAI_18;2018;
25833;5.95;MAI_18;2018;
25837;63.34;MAI_18;2018;
25890;87.57;MAI_18;2018;
25987;37.92;MAI_18;2018;
26130;9.92;MAI_18;2018;
26166;19.85;MAI_18;2018;
26175;69.50;MAI_18;2018;
26293;2167.50;MAI_18;2018;
26574;0.00;MAI_18;2018;
26638;0.00;MAI_18;2018;
26662;19.85;MAI_18;2018;
26732;19.85;MAI_18;2018;
26756;45.47;MAI_18;2018;
26797;14.89;MAI_18;2018;
26845;41.90;MAI_18;2018;
26847;178.72;MAI_18;2018;
26881;121.13;MAI_18;2018;
26924;5.95;MAI_18;2018;
26925;5.95;MAI_18;2018;
26927;5.95;MAI_18;2018;
26932;5.95;MAI_18;2018;
26936;5.95;MAI_18;2018;
26941;5.95;MAI_18;2018;
26942;5.95;MAI_18;2018;
26943;5.95;MAI_18;2018;
26945;5.95;MAI_18;2018;
26950;5.95;MAI_18;2018;
26953;1.81;MAI_18;2018;
26954;19.85;MAI_18;2018;
27023;5.95;MAI_18;2018;
27102;24.82;MAI_18;2018;
27104;51.63;MAI_18;2018;
27108;29.58;MAI_18;2018;
27109;5.95;MAI_18;2018;
27112;50.63;MAI_18;2018;
27113;19.46;MAI_18;2018;
27114;27.80;MAI_18;2018;
27115;74.66;MAI_18;2018;
27116;39.31;MAI_18;2018;
27118;52.62;MAI_18;2018;
27122;37.53;MAI_18;2018;
27123;27.20;MAI_18;2018;
27124;27.40;MAI_18;2018;
27125;27.80;MAI_18;2018;
27126;81.41;MAI_18;2018;
27135;37.33;MAI_18;2018;
27138;5.95;MAI_18;2018;
27201;0.00;MAI_18;2018;
27299;2225.68;MAI_18;2018;
27300;493.81;MAI_18;2018;
27417;19.85;MAI_18;2018;
27460;9.33;MAI_18;2018;
27491;0.00;MAI_18;2018;
27512;39.12;MAI_18;2018;
27578;151.91;MAI_18;2018;
27745;6.75;MAI_18;2018;
27762;40.90;MAI_18;2018;
27804;246.23;MAI_18;2018;
27875;19.06;MAI_18;2018;
27876;0.00;MAI_18;2018;
28058;19.85;MAI_18;2018;
28174;30.18;MAI_18;2018;
28209;86.18;MAI_18;2018;
28267;33.75;MAI_18;2018;
28451;70.49;MAI_18;2018;
28452;89.36;MAI_18;2018;
28713;105.84;MAI_18;2018;
28715;45.67;MAI_18;2018;
28872;19.85;MAI_18;2018;
28921;0.00;MAI_18;2018;
29027;0.00;MAI_18;2018;
29028;212.28;MAI_18;2018;
29064;33.16;MAI_18;2018;
29102;0.00;MAI_18;2018;
29148;612.22;MAI_18;2018;
29475;407.28;MAI_18;2018;
29484;129.87;MAI_18;2018;
29495;1903.38;MAI_18;2018;
29502;139.00;MAI_18;2018;
29560;9.53;MAI_18;2018;
29581;5.95;MAI_18;2018;
29676;553.83;MAI_18;2018;
29725;565.35;MAI_18;2018;
30038;86.18;MAI_18;2018;
30073;324.08;MAI_18;2018;
30509;0.00;MAI_18;2018;
30566;19.85;MAI_18;2018;
30571;5.95;MAI_18;2018;
30645;36.73;MAI_18;2018;
30800;0.00;MAI_18;2018;
30809;19.85;MAI_18;2018;
30866;43.68;MAI_18;2018;
31047;57.98;MAI_18;2018;
31249;19.85;MAI_18;2018;
